ocid,mnth,start_date,end_date,co2_pm
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-04-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-05-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-06-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-07-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-08-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-09-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-10-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-11-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-12-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-01-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-02-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-03-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-04-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-05-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-06-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-07-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-08-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-09-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-10-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-11-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2020-12-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2021-01-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2021-02-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2021-03-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2021-04-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2021-05-01,2016-04-01,2025-07-01,8.329025310834814
