ocid,mnth,start_date,end_date,co2_pm
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-12-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-01-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-02-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-03-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-04-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-05-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-06-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-07-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-08-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-09-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-10-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-11-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2019-12-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-01-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-02-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-03-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-04-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-05-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-06-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-07-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-08-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-09-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-10-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-11-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2020-12-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2021-01-01,2017-07-03,2021-07-02,0.9375010273972604
